APIs,Count
setPlayWhenReady,292
setPlaybackParameters,195
setShuffleModeEnabled,91
clear,64094
isEndOfStream,1645
isDecodeOnly,1108
flip,4145
refreshSourceInfo,2353
prepareChildSource,1260
getOutput,460
getInitialization,118
addEventListener,341
createEventDispatcher,1656
flush,19035
dequeueOutputBuffer,1251
dequeueInputBuffer,1247
queueInputBuffer,1259
initCause,19684
replaceOutputBuffer,810
hasPendingOutput,135
isActive,5324
getFlag,233
hasSupplementalData,131
addFlag,805
setFlags,7651
isKeyFrame,344
getAtomTypeString,226
getFormatHolder,692
readSource,1248
sendEmptyMessageDelayed,3179
interrupt,3882
isInitialStickyBroadcast,1056
createDrmEventDispatcher,692
isEnabled,25190
getChildPeriodUidFromConcatenatedUid,411
getChildTimelineUidFromConcatenatedUid,264
getConcatenatedUid,263
disableChildSource,157
enableChildSource,157
releaseChildSource,355
getCause,16750
parseRequiredString,206
getNormalizedAttribute,206
parseRequiredInt,206
parseLong,3040
parseRequiredLong,103
parseInt,3227
parseBoolean,1659
putNormalizedAttribute,206
parse,9904
transferEnded,1191
transferInitializing,1191
transferStarted,1191
bytesTransferred,1191
hasMessages,4021
isHoleSpan,214
isOpenEnded,214
setAdInfo,72
zze,17403
asGoogleApiClient,1556
getApiOptions,729
getMessage,49026
setShowsDialog,2161
getFragment,5616
zae,505
getActivity,18173
onResume,10518
onDestroy,11427
onConnected,976
onConnectionSuspended,1095
zzb,18532
getService,8678
writeToParcel,18866
setTypeface,7792
setTextSize,9445
setMinHeight,2291
setMinWidth,3637
setTextColor,9649
setText,19972
setTransformationMethod,2969
canUnparcelSafely,560
getUnparcelClientVersion,560
shouldDowngrade,560
isConnected,5581
getClientSettings,475
getScopes,148
checkConnected,313
zzh,10771
zzf,15356
zzaP,14671
zzaL,1346
zzaI,752
doWrite,2260
setResult,12760
zzc,13394
zzd,10925
zzg,11281
doRead,2544
setCancelToken,124
registerListener,2900
doRegisterEventListener,575
doUnregisterEventListener,617
zza,34585
onSuccess,714
endOfData,8701
copyAccessEntry,818
copyWriteEntry,818
nextEntry,1429
recreateCacheBuilder,197
lock,7691
unlock,5869
isHeldByCurrentThread,913
tryLock,6508
get,156179
getValue,20268
getKey,8387
standardContainsAll,414
standardRemoveAll,612
standardRetainAll,414
standardToArray,2788
containsKey,19995
setInverse,198
inverse,199
contains,31469
standardToString,591
map,3755
wrapEntry,195
entrySet,14873
iterator,37441
refreshIfEmpty,397
getDelegate,2315
addToMap,207
size,83181
removeIfEmpty,397
getAncestor,591
isEmpty,58384
getDelegateIterator,198
keySet,18445
asMap,1390
equals,109524
rowMap,209
columnMap,407
row,200
belowValue,198
putAll,14674
count,2015
isPartialView,1799
toArray,21449
containsAll,7447
setMap,1630
listIterator,7342
apply,9241
backingMap,1189
createMaybeNavigableAsMap,955
createMaybeNavigableKeySet,955
wrapList,383
getElement,346
elementSet,426
multiset,195
standardEquals,204
delegate,853
escapeSlow,817
predecessors,781
successors,781
validateEndpoints,700
nodeU,384
nodeV,384
write,44978
hashBytes,392
visit,1140
capture,1244
notifyStarted,794
isRunning,7396
notifyFailed,588
notifyStopped,784
afterDone,429
set,58713
setException,3791
setFuture,1987
state,238
interruptTask,197
cancel,42531
isDone,4970
init,12849
compareTo,18207
maybePropagateCancellationTo,576
getProvider,3625
setOfProvider,328
nullSafe,3546
nextNode,1653
i,7549
p,2322
s,1705
F,1815
R,501
T,2275
h,5713
f,9412
I,1337
B,1537
U,455
D,2529
o,2538
u,1751
A,1907
V,452
W,510
z,3313
hasWindowFocus,4498
evaluateJavascript,1640
getSettings,4230
setBackgroundColor,18387
setImportantForAccessibility,3473
setWebViewClient,3573
setWebChromeClient,2663
addJavascriptInterface,2474
getRootView,4512
removeJavascriptInterface,1446
getLocationOnScreen,6051
isHardwareAccelerated,3156
setVerticalScrollBarEnabled,3044
reload,1064
canGoBack,1701
goBack,1748
canGoForward,936
goForward,920
loadUrl,3515
getGlobalVisibleRect,4946
getLocationInWindow,5520
draw,20403
getUrl,4210
layout,7048
setDrawingCacheEnabled,1403
buildDrawingCache,1276
registerActivityLifecycleCallbacks,2997
getSharedPreferences,3637
startActivity,16060
getContentResolver,3100
runOnUiThread,3236
setIntent,4912
setScaleType,3623
setImageBitmap,3551
setOrientation,7220
requestWindowFeature,6149
setCanceledOnTouchOutside,3702
setCancelable,6108
setContentView,24103
setOnDismissListener,7013
g,7171
printStackTrace,26872
onRedirectionFailed,115
onFinishRedirection,115
onStartRedirection,155
getIndex,4325
isSourceReady,608
getConfiguration,2339
consume,742
supportsFormatDrm,649
isBlacklisted,585
alpnProtocolNames,614
getActivityProxy,66
getJSCommon,132
getJSContainerModule,66
getJSVideoModule,127
registerJsFactory,197
getJSNotifyProxy,132
setActivity,966
setBidCampaign,66
setBigOffer,66
setUnitId,761
setIV,132
setIVRewardEnable,132
setMute,137
setReward,132
setRewardUnitSetting,197
setPlacementId,275
setUserId,833
onRestart,1334
onStart,9005
setRewardId,66
clearAnimation,4302
findLayout,522
findID,440
isNotNULL,461
setMatchParent,264
findColor,132
setBackgroundResource,19079
setCampaign,776
setNotifyListener,636
onDismissLoading,70
onDownloadFinish,70
onDownloadProgress,73
onDownloadStart,82
onInterceptDefaultLoadingDialog,70
onShowLoading,70
click,67
handlerH5Exception,66
getLocalizedMessage,8384
name,29516
values,22077
put,77215
l,3198
m,3319
n,3229
r,1604
G,1190
H,990
t,2259
v,4994
q,2153
ae,333
C,1878
J,777
x,2348
L,1654
y,2668
P,504
w,6982
remove,75782
clone,606721
addParams,87
getInputStream,8575
setDaemon,3171
setName,7694
getTarget,1196
setRequestedOrientation,2893
getSystemService,8692
close,82271
setGmaAd,466
getRootWindowInsets,2916
bringChildToFront,3707
classForName,158
exists,3353
removeOnLayoutChangeListener,2857
setInitialScale,824
setDownloadListener,1554
addOnLayoutChangeListener,4495
getEnabled,568
executeOnExecutor,6908
loadPresentationData,304
isCancelled,9348
create,15239
setEventListener,377
handleExit,123
showWebsite,212
showCloseButton,107
open,6566
removeWebView,210
getWebsiteUrl,108
showDialog,666
setPresenter,341
destroyAdView,304
refreshDialogIfVisible,197
hasWebView,210
setImmersiveMode,373
resumeWeb,212
pauseWeb,212
attach,406
detach,1119
allowCoreThreadTimeOut,2393
shutdownNow,3410
awaitTermination,2521
setOnKeyListener,5746
executeTask,87
setPost,190
updateEnvironment,89
setTag,17079
setPadding,17068
setTextAppearance,10643
setCompoundDrawablesWithIntrinsicBounds,5712
setCompoundDrawables,6589
setIndex,2237
mapCapacity,463
toMap,2681
mutableMapOf,214
getOrImplicitDefaultNullable,443
withDefault,442
withDefaultMutable,441
createMapBuilder,875
build,65522
toSingletonMap,443
emptyMap,1977
toMutableMap,463
optimizeReadOnlyMap,443
mapOf,773
defaultPlatformRandom,195
getFirst,3820
getLast,4379
setNext,1359
done,1413
responseBodyComplete,651
enter,2706
exit,2330
getCursor,1722
isItemChecked,1267
setChoiceMode,1958
setOnCancelListener,5527
invalidateSelf,14430
measureIndividualMenuWidth,940
getEpicenterBounds,936
toMenuAdapter,473
getAlphabeticShortcut,1411
getGroupId,1936
getItemId,4894
getMenuInfo,1379
getNumericShortcut,1407
getOrder,2498
getSubMenu,1948
getTitleCondensed,1409
hasSubMenu,3448
isCheckable,2935
isChecked,8745
isVisible,9430
setAlphabeticShortcut,2909
setCheckable,3418
setChecked,11260
setIcon,10526
setNumericShortcut,2895
setOnActionExpandListener,1967
setOnMenuItemClickListener,2425
setShortcut,2615
setTitle,15795
setTitleCondensed,1947
setVisible,6282
getSubMenuWrapper,946
getMenuItemWrapper,1419
internalClear,479
internalRemoveGroup,473
internalRemoveItem,473
setBaselineAligned,581
getDividerWidth,489
getMeasuredState,7145
notifyChanged,2242
notifyDataSetInvalidated,2595
registerDataSetObserver,5041
measureChild,3510
isPopupShowing,1656
getListSelection,1388
getText,23959
getThreshold,1430
getKeyDispatcherState,2783
getWindowToken,7331
addTextChangedListener,3691
setOnEditorActionListener,2579
setOnFocusChangeListener,3577
getDropDownAnchor,1391
dismissDropDown,1750
getTextSize,5563
setHint,4808
setImeOptions,2370
setInputType,3531
getDropDownBackground,1473
setDropDownHorizontalOffset,2792
setDropDownWidth,2794
clearFocus,4545
getImeOptions,2846
getInputType,7505
length,28142
setListSelection,1369
clearListSelection,1366
setPrivateImeOptions,1411
setTouchDelegate,1713
isFocusable,6295
getSuggestedMinimumWidth,6502
getSuggestedMinimumHeight,6411
restoreHierarchyState,3154
saveHierarchyState,3150
setOnShowListener,1800
checkSelfPermission,2219
cancelAll,1785
notify,4986
getBinder,3869
ensureJobId,575
stopSelf,3946
getClassLoader,6095
clearHeader,1343
getItem,10245
setHeaderIcon,2668
setHeaderTitle,3050
setHeaderView,1337
setClipToPadding,4073
scrollBy,2060
getFocusables,1518
findFocus,4187
getVerticalFadingEdgeLength,1527
setMotionEventSplittingEnabled,1828
setOnApplyWindowInsetsListener,2441
read,38674
addTab,964
getCurrentTabTag,1034
setCurrentTabByTag,1032
activeStateChanged,1015
setValue,3897
hasActiveObservers,1494
postValue,1282
isReset,628
isStarted,4864
isLoadInBackgroundCanceled,559
takeContentChanged,625
forceLoad,989
cancelLoad,1194
dispatchAnimationFinished,381
canReuseUpdatedViewHolder,387
dispatchRemoveFinished,399
dispatchRemoveStarting,399
dispatchAddFinished,411
dispatchAddStarting,410
dispatchMoveFinished,399
dispatchMoveStarting,399
dispatchChangeFinished,402
dispatchChangeStarting,399
getRemoveDuration,471
getAddDuration,469
getChangeDuration,401
getMoveDuration,412
dispatchAnimationsFinished,412
broadcastInvalidation,332
unregisterCallback,1558
registerCallback,2406
isInTouchMode,3379
getChangingConfigurations,5276
isStateful,3771
mutate,2389
scheduleSelf,4542
unscheduleSelf,4531
scrollTo,4782
isFocusableInTouchMode,1431
addViewInLayout,2657
getDefaultSize,2749
removeViewInLayout,3150
onWindowVisibilityChanged,4213
getRunAttemptCount,19
internalInitInvalidationTracker,523
onFailure,592
isInterrupted,1538
createOffscreenSurface,11
releaseEglSurface,28
sendBroadcast,3104
startIntentSenderForResult,5554
verifyLicense,89
checkLicense,68
a_,856
d_,486
onPause,9508
destroyDrawingCache,1084
setWillNotCacheDrawing,334
stopLoading,1700
setScrollBarStyle,1186
setWebViewRenderProcessClient,885
setOnLongClickListener,4267
setLayerType,6836
setWebContentsDebuggingEnabled,1104
getAndClearLastClickLocation,290
getLastClickLocation,119
onAdRevenuePaid,150
isOpenMeasurementEnabled,131
getOpenMeasurementContentUrl,262
getOpenMeasurementCustomReferenceData,262
getOpenMeasurementVerificationScriptResources,131
initialize,5383
getServerParameters,510
isTesting,212
attachAdComponentViewApi,711
getMediaViewVideoRendererApi,290
setEventsListener,190
addContentController,61
notNullNorEmpty,1
skipSource,574
handleMessage,2112
onStreamChanged,106
getStreamFormats,586
isSeekable,422
convertTimeToGranule,321
convertGranuleToTime,97
getWindowCount,90
getPeriodCount,95
getDataHolder,129
getSelectedIndex,254
indexOf,23442
quit,3569
getCodec,378
getCodecInfo,348
maybeInitCodec,108
createRendererException,829
getSeekMap,416
isSeeking,416
handlePendingSeek,416
setSeekTargetUs,416
ensureSpaceForWrite,315
startForeground,2990
stopSelfResult,2196
blockUntilStarted,117
getFirstWindowIndex,220
getLastWindowIndex,220
isAd,113
onContinueLoadingRequested,348
invalidateUpstreamFormatAdjustment,91
sourceId,939
getUpstreamFormat,91
getReadIndex,87
setStartTimeUs,83
setSampleOffsetUs,91
setUpstreamFormatChangeListener,91
discardUpstreamSamples,87
peekSourceId,91
splice,87
discardTo,91
isReady,1077
maybeThrowError,91
checkInBounds,302
isCurrentStreamFinal,110
onSelectionActivated,128
getCurrentMappedTrackInfo,157
selectTracks,128
getBandwidthMeter,146
addTransferListener,420
experimentalSetAsynchronousBufferQueueingEnabled,98
experimentalSetForceAsyncQueueingSynchronizationWorkaround,98
experimentalSetSynchronizeCodecInteractionsWithQueueingEnabled,98
setPendingPlaybackException,117
getCodecOutputMediaFormat,117
setPendingOutputEndOfStream,125
releaseCodec,123
maybeInitCodecOrBypass,117
flushOrReinitializeCodec,135
updateOutputFormatForTime,146
getOutputStreamOffsetUs,117
getPlaybackSpeed,1256
hasReadStreamToEnd,279
setFullScreenContentCallback,76
getResponseInfo,186
zzk,6971
zzj,8766
zzi,9413
zzm,6022
zzn,6129
zzp,5586
zzq,6102
zzo,5471
zzl,6877
zzJ,527
zzW,345
zzy,2048
zzP,273
zzH,966
zzI,733
zzR,489
zzE,2572
zzt,4087
zzL,484
zzr,4875
zzK,520
zzU,254
zzT,217
zzS,238
zzY,251
zzN,356
zzab,447
zzC,1003
zzO,507
zzs,4302
zzQ,409
zzM,232
zzF,3073
zzA,2035
zzX,336
zzG,1412
zzD,3089
zzB,1702
zzz,3081
zzaa,398
zzZ,605
zzx,2436
getAdapterCreator,176
getLiteSdkVersion,176
zzu,3111
zzv,2553
getRemoteCreatorInstance,2086
<init>,1256336
isLoaded,733
zaD,412
getDriveId,260
getString,39193
copyToBuffer,913
parseUri,1954
getLong,19047
getBoolean,14864
getInterfaceDescriptor,6752
zzal,157
zzak,180
zzam,3836
zzaj,1753
zzai,261
zzah,586
zzaf,368
zzae,200
zzad,267
zzac,187
onCaptureOverlayStateChanged,86
zzax,183
zzaw,192
zzav,451
zzau,172
zzat,109
zzas,240
zzar,156
zzaq,137
zzap,131
zzao,209
zzag,437
zzw,2437
onSignOutComplete,83
zzan,182
freeze,1421
toByteArray,7339
isInitialized,864
zzda,222
zzcx,102
add,61974
addAll,25823
hasNext,8837
nextByte,366
createClientSettingsBuilder,42
or,2095
and,1659
none,597
isNot,300
is,303
any,2736
getIfPresent,197
containsEntry,1190
containsValue,4466
entries,3134
keys,3279
removeAll,14694
replaceValues,1175
comparator,3108
descendingIterator,3693
createAsList,192
first,5644
last,5337
checkNoDuplicate,354
rowKeySet,197
columnKeySet,589
cellOf,594
setDelegates,397
entryPredicate,393
headSet,1447
subSet,1465
tailSet,1945
standardHeadSet,196
standardSubSet,196
standardTailSet,196
expandedCapacity,210
internalArray,194
internalArrayStart,193
internalArrayEnd,188
entryIterator,788
asList,6668
createMap,173
checkNoConflict,242
entryOf,217
readMapMaker,201
readEntries,201
writeMapTo,201
clearReferenceQueue,770
drainValueReferenceQueue,386
drainKeyReferenceQueue,577
cellSet,392
column,201
containsColumn,397
containsRow,200
getRowKey,200
getColumnKey,212
isDirected,1152
nodes,1344
allowsSelfLoops,1152
isOrderingCompatible,350
incidentNodes,384
edges,196
adjacentNodes,767
allowsParallelEdges,384
nodeOrder,384
incidentEdges,192
inEdges,192
outEdges,192
advance,937
trimTrailingPadding,190
encodeChunkTo,192
ignoringReader,191
separatingAppendable,191
separatingWriter,191
reset,22806
scan,92
collectTypes,195
getRawType,2113
decrementRemainingAndGet,193
getOrInitSeenExceptions,193
tryInternalFastPathGetFailure,189
wasInterrupted,511
isWriteLockedByCurrentThread,361
getReadHoldCount,1126
getStackTrace,5340
pendingToString,361
compareAndSet,20317
getAndSet,15060
getAt,196
upperCaseFirstLetter,784
separateCamelCase,1609
startActivityForResult,9066
notifyAppBackground,62
notifyAppForeground,62
getReadableDatabase,2944
onRequestPayloadCreationFailed,64
startAnimation,5035
setDuration,12440
setFillAfter,1727
setInterpolator,11505
setMediaController,1081
setZOrderOnTop,720
getHolder,1988
setBackground,9261
setOnCompletionListener,2110
setOnPreparedListener,2070
setOnErrorListener,2031
getLineHeight,426
setSingleLine,5510
setLines,1885
setContentDescription,19179
setHorizontallyScrolling,1781
setHorizontalFadingEdgeEnabled,888
setEllipsize,4284
setMarqueeRepeatLimit,158
setCompoundDrawablePadding,2605
getWritableDatabase,4451
getGhId,49
getGhPath,49
getType,26200
getIconUrl,119
getImageUrl,151
getTimestamp,3224
getVideoLength,64
getAppName,114
getAdCall,71
getAppDesc,71
getSize,8265
getRating,1230
setPackageName,3033
setAppName,68
setAppDesc,65
setSize,2525
setIconUrl,66
setImageUrl,186
setRating,1223
setNumberRating,64
setTimestamp,187
setVideoLength,64
setGhId,49
setGhPath,49
setBindId,49
setAdchoiceSizeHeight,65
setAdchoiceSizeWidth,65
setType,3513
trackingStr2Object,64
getNumberRating,64
campaignToJsonObject,64
replaceValueByKey,64
parseCampaign,64
parseCampaignWithBackData,64
loadIconUrlAsyncWithBlock,41
loadImageUrlAsyncWithBlock,41
getBindId,49
getmPlacementId,57
getmUnitId,57
getmFloorPrice,56
setOffscreenPageLimit,166
setClipChildren,4530
setOnPageChangeListener,76
unregisterReceiver,2970
registerReceiver,5480
jobFinished,2503
onSpanAdded,1044
onSpanRemoved,1044
onSpanTouched,217
overridePendingTransition,2539
endOfInput,748
concatLengthPrefixed,394
readFieldOrNull,644
getInstanceId,350
setInstanceId,329
setRect,1008
setLayout,1698
setImageResource,2758
setWrapContent,132
canBackPress,132
notifyCloseBtn,132
setCloseDelayShowTime,66
setPlayCloseBtnTm,66
setNotchValue,52
setCloseVisible,267
toggleCloseBtn,132
getCampaign,149
filterFindViewId,141
setLayoutParam,66
isLandscape,201
getHandler,2324
setClipToOutline,4400
setLayoutCenter,66
isFillEnabled,21
setStartOffset,841
clearCache,919
setOverScrollMode,3081
getHitTestResult,290
createPrintDocumentAdapter,125
access$700,8
access$200,25
formatException,6
getAdmonEventIndex,6
getBatchSendId,6
incBatchSendId,6
setCorePoolSize,1096
setMaximumPoolSize,887
setY,2922
run,6373
setInitialInputBufferSize,235
isAlive,4045
getData,7066
setObjectId,222
setCategory,1874
commit,3531
join,7195
getWindowVisibleDisplayFrame,2028
callNonVoidMethod,1922
callVoidMethod,443
getMetricSender,1013
getDeviceInfo,154
callNonVoidStaticMethod,262
getClassForBridge,131
getArguments,8397
getFragmentManager,3323
retainAll,9822
sortedWith,4896
listOf,925
filterIsInstanceTo,882
toCollection,5322
collectionSizeOrDefault,446
throwCountOverflow,461
windowed,2648
toMutableSet,4432
toList,5717
emptyList,2005
optimizeReadOnlyList,463
take,9195
elementAtOrElse,883
getLastIndex,4989
getOrNull,4919
throwIndexOverflow,462
filterNotNullTo,885
joinTo,4856
joinToString,4858
maxOrNull,7207
maxWithOrNull,5064
minOrNull,7196
minWithOrNull,5064
minus,1691
plus,9391
random,8495
elementAt,985
randomOrNull,6800
toMutableList,5819
reverse,11250
single,3321
sortWith,1349
sort,27984
asSequence,1468
joinToString$default,1206
toHashSet,1179
createListBuilder,878
getIndices,2922
asCollection,442
removeLast,3192
joinTo$default,870
binarySearch,18695
shuffle,5828
toSet,1022
collectionSizeOrNull,443
drop,5109
singleOrNull,1001
copyToArrayOfAny,442
setPosition,4003
getGetter,4097
call,7633
getName,41257
deadlineNanoTime,581
timeoutNanos,581
hasDeadline,581
timeout,1548
extraCallbackWithResult,277
onRelationshipValidationResult,415
onPostMessage,845
onMessageChannelReady,845
extraCallback,424
onNavigationEvent,425
receiveFile,277
requestPostMessageChannelWithExtras,277
newSessionWithExtras,277
validateRelationship,414
postMessage,726
requestPostMessageChannel,422
updateVisuals,423
