android.permission.WRITE_CALL_LOG,3
com.amazon.CONTENT_PROVIDER_ACCESS,3
com.amazon.dcp.sso.permission.MANAGE_DEVICE_AND_USER_DATA,3
com.amazon.settings.permission.ALEXA_SETTINGS_CONSUMER,3
com.amazon.whisperjoin.deviceprovisioningservice.ArcusUpdate.Permission,3
com.amazon.whisperjoin.deviceprovisioningservice.FFSServiceAction.permission,3
com.android.providers.tv.permission.READ_EPG_DATA,3
com.android.providers.tv.permission.WRITE_EPG_DATA,3
com.avast.android.account.avg.ACCOUNT_PERMISSION,3
com.facebook.mlite.provider.ACCESS,3
com.facebook.orca.provider.ACCESS,3
com.facebook.services.identity.FEO2,3
com.facebook.wakizashi.provider.ACCESS,3
com.google.android.gm.exchange.BIND,3
com.google.android.gm.permission.AUTO_SEND,3
com.google.android.googleapps.permission.GOOGLE_AUTH.ALL_SERVICES,3
com.google.android.googleapps.permission.GOOGLE_AUTH.OTHER_SERVICES,3
com.google.android.googleapps.permission.GOOGLE_AUTH.wise,3
com.huawei.android.launcher.permission.CHANGE_BADGE ,3
com.huawei.permission.external_app_settings.USE_COMPONENT,3
com.samsung.WATCH_APP_TYPE.Companion,3
com.xiaomi.permission.AUTH_SERVICE,3
org.simalliance.openmobileapi.SMARTCARD,3
android.hardware.camera.autofocus,2
android.hardware.usb.host,2
android.permission.ACCESS_ASSISTED_GPS,2
android.permission.ACCESS_MOCK_LOCATION,2
android.permission.AUDIO_CAPTURE,2
android.permission.BODY_SENSORS,2
android.permission.CAPTURE_AUDIO_OUTPUT,2
android.permission.CHANGE_COMPONENT_ENABLED_STATE,2
android.permission.DEVICE_POWER,2
android.permission.FORCE_STOP_PACKAGES,2
android.permission.INJECT_EVENTS,2
android.permission.INTERACT_ACROSS_PROFILES,2
android.permission.LOCAL_MAC_ADDRESS,2
android.permission.MANAGE_USERS,2
android.permission.MICROPHONE,2
android.permission.MODIFY_PHONE_STATE,2
android.permission.OVERRIDE_WIFI_CONFIG,2
android.permission.READ_DEVICE_CONFIG,2
android.permission.READ_NETWORK_USAGE_HISTORY,2
android.permission.REQUEST_PASSWORD_COMPLEXITY,2
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,2
android.permission.SET_ORIENTATION,2
android.permission.START_ACTIVITIES_FROM_BACKGROUND,2
android.permission.TRANSMIT_IR,2
android.permission.UNINSTALL_SHORTCUT,2
android.permission.VIDEO_CAPTURE,2
android.permission.WRITE_OWNER_DATA,2
android.permission.WRITE_PROFILE,2
android.provider.Settings.Secure.ANDROID_ID,2
androidx.car.app.ACCESS_SURFACE,2
androidx.car.app.NAVIGATION_TEMPLATES,2
com.amazon.CONTENT_NOTIFICATION_ACCESS,2
com.amazon.STORE_ACCESS,2
com.amazon.alexa.externalmediaplayer.permission.CONNECT,2
com.amazon.alexa.externalmediaplayer.permission.WAKE_UP,2
com.amazon.dcp.settings.permission.READ_SETTINGS,2
com.amazon.kindle.otter.settings.RECEIVE_GOODREADS_UNLINK,2
com.amazon.mp3.permission.C2D_MESSAGE,2
com.amazon.mp3.permission.UA_DATA,2
com.amazon.music.push.CAN_RECEIVE_CUSTOM_PUSH,2
com.amazon.whas.API_COMMUNICATION,2
com.amazon.whisperjoin.deviceprovisioningservice.WhiteListPolicyUpdate.Permission,2
com.android.email.partnerprovider.PARTNER_PROVIDER,2
com.android.launcher2.permission.READ_SETTINGS,2
com.android.launcher2.permission.WRITE_SETTINGS,2
com.android.launcher3.permission.READ_SETTINGS,2
com.android.launcher3.permission.WRITE_SETTINGS,2
com.avast.android.applocker.avg.TEMPORARY_DISABLE,2
com.chartcross.gpstest.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,2
com.dmm.premium.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,2
com.facebook.lite.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,2
com.farsitel.bazaar.permission.PAY_THROUGH_BAZAAR,2
com.google.android.apps.docs.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,2
com.google.android.apps.docs.permission.C2D_MESSAGE,2
com.google.android.apps.docs.permission.READ_MY_DATA,2
com.google.android.apps.docs.permission.SYNC_STATUS,2
com.google.android.apps.dynamite.permission.C2D_MESSAGE,2
com.google.android.calendar.permission.READ_OOBE,2
com.google.android.email.permission.ACCESS_PROVIDER,2
com.google.android.email.permission.READ_ATTACHMENT,2
com.google.android.gallery3d.permission.GALLERY_PROVIDER,2
com.google.android.gm.email.permission.ACCESS_PROVIDER,2
com.google.android.gm.email.permission.GET_WIDGET_UPDATE,2
com.google.android.gm.email.permission.READ_ATTACHMENT,2
com.google.android.gm.permission.BROADCAST_INTERNAL,2
com.google.android.gm.permission.WRITE_GMAIL,2
com.google.android.gms.permission.REQUEST_SCREEN_LOCK_COMPLEXITY,2
com.google.android.googleapps.permission.GOOGLE_AUTH.mail,2
com.google.android.permission.PROVIDE_BACKGROUND,2
com.google.googlenav.friend.permission.OPT_IN,2
com.hihonor.android.launcher.permission.CHANGE_BADGE,2
com.htc.launcher.permission.WRITE_SETTINGS,2
com.lge.launcher.permission.READ_SETTINGS,2
com.lge.launcher.permission.WRITE_SETTINGS,2
com.nokia.pushnotifications.permission.RECEIVE,2
com.nvsgames.snap.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,2
com.oplus.ipemanager.permission.receiver.DOUBLE_CLICK,2
com.samsung.android.samsungaccount.permission.ACCOUNT_MANAGER,2
com.samsung.wmanager.ENABLE_NOTIFICATION,2
com.sec.android.iap.permission.BILLING,2
com.truecaller.permission.sdk.internal.read_account_state,2
com.xiaomi.permission.CLOUD_MANAGER,2
com.xiaomi.vip.permission.SERVICE,2
com.zing.zalo.permission.ACCESS_THIRD_PARTY_APP_AUTHORIZATION,2
AdLoader.loadAd: android.permission.INTERNET,1
Manifest.permission.USE_BIOMETRIC,1
['android.permission.INTERNET'],1
ai.generated.art.maker.image.picture.photo.generator.painting.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
air.com.gamegos.mobile.fashcup.permission.C2D_MESSAGE,1
andorid.permission.CHANGE_CONFIGURATION,1
android.Manifest.permission.RECORD_AUDIO,1
android.Manifest.permission.SYSTEM_ALERT_WINDOW,1
android.alarm.permission.SET_ALARM,1
android.gms.permission.ACTIVITY_RECOGNITION,1
android.hardware.sensor.accelerometer,1
android.hardware.usb.accessory,1
android.ikeep.permission.BROADCAST,1
android.intent.action.BADGE_COUNT_UPDATE,1
android.permissAGE,1
android.permission.ACCESS_ACCESS_COARSE_LOCATION,1
android.permission.ACCESS_ADSERVICES_ATTRIBUTION,1
android.permission.ACCESS_BLUETOOTH_SHARE,1
android.permission.ACCESS_FIND_LOCATION,1
android.permission.ACCESS_MESSAGES_ON_ICC,1
android.permission.ACCESS_MTP,1
android.permission.ACCESS_NETWORK_STATE ,1
android.permission.ACCESS_RCS_USER_CAPABILITY_EXCHANGE,1
android.permission.ACCESS_THEME,1
android.permission.ACCESS_VR_STATE,1
android.permission.ACTION_MANAGE_OVERLAY_PERMISSION,1
android.permission.ACTION_MEDIA_SCANNER_SCAN_FILE,1
android.permission.ADD_TRUSTED_DISPLAY,1
android.permission.BACKUP,1
android.permission.BILLING,1
android.permission.BIND_DEVICE_ADMIN,1
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE,1
android.permission.BIND_QUICK_SETTINGS_TILE,1
android.permission.BIND_WALLPAPER,1
android.permission.BROADCAST_WAP_PUSH,1
android.permission.CALL_PRIVILEGED,1
android.permission.CAMERA_EXTENDED,1
android.permission.CAPTURE_AUDIO_HOTWORD,1
android.permission.CLEAR_APP_USER_DATA,1
android.permission.CONNECTIVITY_USE_RESTRICTED_NETWORKS,1
android.permission.CONTROL_INCALL_EXPERIENCE,1
android.permission.DELETE_CACHE_FILES,1
android.permission.ENTER_CAR_MODE_PRIORITIZED,1
android.permission.EXECUTE_APP_ACTION,1
android.permission.FILTER_EVENTS,1
android.permission.FLAG_GRANT_READ_URI_PERMISSION,1
android.permission.FLAG_SHOW_WHEN_LOCKED,1
android.permission.FOREGROUND_SERVICE_CONNECTED_DEVICE,1
android.permission.FOREGROUND_SERVICE_HEALTH,1
android.permission.FOREGROUND_SERVICE_LOCATION,1
android.permission.FOREGROUND_SERVICE_REMOTE_MESSAGING,1
android.permission.GET_PERMISSIONS,1
android.permission.GLOBAL_SEARCH,1
android.permission.HIDE_OVERLAY_WINDOWS,1
android.permission.INTERNET ,1
android.permission.MANAGE_ACTIVITY_STACKS,1
android.permission.MANAGE_DEVICE_ADMINS,1
android.permission.MANAGE_DOCUMENTS,1
android.permission.MANAGE_FINGERPRINT,1
android.permission.MANAGE_HOTWORD_DETECTION,1
android.permission.MANAGE_MEDIA,1
android.permission.MANAGE_MEDIA_PROJECTION,1
android.permission.MANAGE_SOUND_TRIGGER,1
android.permission.MANAGE_VOICE_KEYPHRASES,1
android.permission.MASTER_CLEAR,1
android.permission.MEDIA_CONTENT_CONTROL,1
android.permission.MODIFY_AUDIO_ROUTING,1
android.permission.MOUNT_UNMOUNT_FILESYSTEM,1
android.permission.NETWORK_PROVIDER,1
android.permission.NETWORK_SETTINGS,1
android.permission.PEERS_MAC_ADDRESS,1
android.permission.PERFORM_IMS_SINGLE_REGISTRATION,1
android.permission.POST_NOTIFICATION,1
android.permission.PROCESS_OUTGOING_CALLS,1
android.permission.RAISED_THREAD_PRIORITY,1
android.permission.READ_BASIC_PHONE_STATE,1
android.permission.READ_CLIPBOARD_IN_BACKGROUND,1
android.permission.READ_LOG,1
android.permission.READ_MEDIA_IMAGE,1
android.permission.READ_MEDIA_IMAGES`,1
android.permission.READ_MMS,1
android.permission.READ_OWER_DATA,1
android.permission.READ_OWNER_DATA,1
android.permission.READ_PRECISE_PHONE_STATE,1
android.permission.READ_SECURE_SETTINGS,1
android.permission.READ_SOCIAL_STREAM,1
android.permission.READ_WIFI_CREDENTIAL,1
android.permission.REAL_GET_TASK,1
android.permission.REAL_GET_TASKS,1
android.permission.RECEIVE_WAP_PUSH,1
android.permission.REQUEST_COMPANION_RUN_IN_BACKGROUND,1
android.permission.RESTRICTED_VR_ACCESS,1
